<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20220809,000000,0.6988400,0.6994600,0.6949000,0.6953500,1338301
AUDUSD,D,20220810,000000,0.6953900,0.7109100,0.6943000,0.7081600,1664622
AUDUSD,D,20220811,000000,0.7081700,0.7136800,0.7059000,0.7101000,1768168
AUDUSD,D,20220812,000000,0.7101200,0.7128400,0.7081000,0.7121000,1489959
AUDUSD,D,20220814,000000,0.7121000,0.7125000,0.7104000,0.7115100,63171
AUDUSD,D,20220815,000000,0.7115200,0.7125100,0.7007000,0.7018700,1416570
AUDUSD,D,20220816,000000,0.7018500,0.7040100,0.6987000,0.7019500,1506988
AUDUSD,D,20220817,000000,0.7019500,0.7026300,0.6907000,0.6930500,1903196
AUDUSD,D,20220818,000000,0.6931300,0.6969900,0.6895000,0.6910900,1805636
AUDUSD,D,20220819,000000,0.6911000,0.6919500,0.6855000,0.6872000,1585337
AUDUSD,D,20220821,000000,0.6872000,0.6877800,0.6859000,0.6876800,85019
AUDUSD,D,20220822,000000,0.6876600,0.6929100,0.6859000,0.6878100,1676469
AUDUSD,D,20220823,000000,0.6878300,0.6963500,0.6852000,0.6920800,1967660
AUDUSD,D,20220824,000000,0.6920700,0.6928900,0.6875000,0.6905500,1726301
AUDUSD,D,20220825,000000,0.6905100,0.6991200,0.6899000,0.6961000,1786970
AUDUSD,D,20220826,000000,0.6961700,0.7009000,0.6885000,0.6890000,1986101
AUDUSD,D,20220828,000000,0.6890000,0.6902000,0.6857000,0.6864600,106569
AUDUSD,D,20220829,000000,0.6864300,0.6926000,0.6837000,0.6907100,1924076
AUDUSD,D,20220830,000000,0.6906800,0.6956000,0.6842000,0.6854100,2115026
AUDUSD,D,20220831,000000,0.6854200,0.6904100,0.6822000,0.6827600,2078406
AUDUSD,D,20220901,000000,0.6827700,0.6845800,0.6767000,0.6795100,2105097
AUDUSD,D,20220902,000000,0.6795100,0.6855000,0.6776000,0.6808000,1919323
AUDUSD,D,20220904,000000,0.6808000,0.6833000,0.6772000,0.6787900,112655
AUDUSD,D,20220905,000000,0.6788000,0.6815400,0.6769000,0.6811100,1412026
AUDUSD,D,20220906,000000,0.6810900,0.6832500,0.6722000,0.6727400,2315599
AUDUSD,D,20220907,000000,0.6727600,0.6774000,0.6696000,0.6752000,2025088
AUDUSD,D,20220908,000000,0.6752400,0.6766000,0.6709000,0.6764300,2382195
AUDUSD,D,20220909,000000,0.6764500,0.6877400,0.6758000,0.6840000,1886525
AUDUSD,D,20220911,000000,0.6821000,0.6852000,0.6801100,0.6845000,95981
AUDUSD,D,20220912,000000,0.6845600,0.6899600,0.6820000,0.6892500,1768930
AUDUSD,D,20220913,000000,0.6892700,0.6916100,0.6722000,0.6740600,2008075
AUDUSD,D,20220914,000000,0.6739900,0.6762300,0.6701000,0.6752400,2271347
AUDUSD,D,20220915,000000,0.6752400,0.6770000,0.6681000,0.6686700,1900413
AUDUSD,D,20220916,000000,0.6686200,0.6724200,0.6666000,0.6718000,2016121
AUDUSD,D,20220918,000000,0.6720000,0.6734000,0.6707000,0.6724200,110344
AUDUSD,D,20220919,000000,0.6724900,0.6735200,0.6669000,0.6732300,1854034
AUDUSD,D,20220920,000000,0.6731900,0.6747400,0.6673000,0.6694500,2214161
AUDUSD,D,20220921,000000,0.6693900,0.6705200,0.6604000,0.6611000,2668294
AUDUSD,D,20220922,000000,0.6611600,0.6671000,0.6571000,0.6643600,3099188
AUDUSD,D,20220923,000000,0.6643500,0.6655800,0.6508000,0.6526000,2706814
AUDUSD,D,20220925,000000,0.6527000,0.6538000,0.6506000,0.6530500,149429
AUDUSD,D,20220926,000000,0.6530500,0.6537000,0.6434000,0.6470000,3170499
AUDUSD,D,20220927,000000,0.6470800,0.6512800,0.6410000,0.6433700,2659987
AUDUSD,D,20220928,000000,0.6433900,0.6530900,0.6359000,0.6502800,3406404
AUDUSD,D,20220929,000000,0.6502100,0.6518500,0.6432000,0.6508200,3094816
AUDUSD,D,20220930,000000,0.6507900,0.6523900,0.6388000,0.6402000,2962735
AUDUSD,D,20221002,000000,0.6402000,0.6428400,0.6395000,0.6419500,123595
AUDUSD,D,20221003,000000,0.6419500,0.6522100,0.6408000,0.6502500,2344493
AUDUSD,D,20221004,000000,0.6502800,0.6547600,0.6447000,0.6513000,2466860
AUDUSD,D,20221005,000000,0.6513000,0.6526200,0.6413000,0.6512200,2398909
AUDUSD,D,20221006,000000,0.6511900,0.6540900,0.6385000,0.6413900,2754450
AUDUSD,D,20221007,000000,0.6414300,0.6432500,0.6350000,0.6368000,2292408
AUDUSD,D,20221009,000000,0.6368000,0.6375000,0.6340000,0.6358000,145295
AUDUSD,D,20221010,000000,0.6360200,0.6380200,0.6271000,0.6295700,2255699
AUDUSD,D,20221011,000000,0.6295700,0.6346000,0.6244000,0.6264800,2806842
AUDUSD,D,20221012,000000,0.6264600,0.6298700,0.6236000,0.6275100,1817397
AUDUSD,D,20221013,000000,0.6275300,0.6316500,0.6167000,0.6294500,2720066
AUDUSD,D,20221014,000000,0.6294600,0.6347000,0.6190000,0.6194000,2773108
AUDUSD,D,20221016,000000,0.6196000,0.6224000,0.6181000,0.6221900,118648
