<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NOKUSD,D,20221002,000000,0.0918200,0.0921400,0.0910240,0.0917840,406
NOKUSD,D,20221003,000000,0.0917980,0.0939800,0.0916660,0.0938530,3475
NOKUSD,D,20221004,000000,0.0938470,0.0958800,0.0935180,0.0956380,3454
NOKUSD,D,20221005,000000,0.0955860,0.0958200,0.0936060,0.0951700,3440
NOKUSD,D,20221006,000000,0.0951670,0.0956200,0.0930050,0.0931220,3457
NOKUSD,D,20221007,000000,0.0931340,0.0937600,0.0928080,0.0932900,3182
NOKUSD,D,20221009,000000,0.0932600,0.0934200,0.0925110,0.0932500,553
NOKUSD,D,20221010,000000,0.0930860,0.0941600,0.0926440,0.0936500,3498
NOKUSD,D,20221011,000000,0.0935760,0.0940150,0.0925030,0.0928900,3494
NOKUSD,D,20221012,000000,0.0927920,0.0937000,0.0924350,0.0927370,2600
NOKUSD,D,20221013,000000,0.0927270,0.0950200,0.0920150,0.0944200,3420
NOKUSD,D,20221014,000000,0.0942680,0.0951040,0.0913490,0.0930500,3161
NOKUSD,D,20221016,000000,0.0913490,0.0939200,0.0913490,0.0937720,318
NOKUSD,D,20221017,000000,0.0937560,0.0951420,0.0934930,0.0949390,3546
NOKUSD,D,20221018,000000,0.0948880,0.0955600,0.0939770,0.0947240,3499
NOKUSD,D,20221019,000000,0.0946600,0.0948300,0.0937110,0.0939490,3452
NOKUSD,D,20221020,000000,0.0939380,0.0947630,0.0929080,0.0935650,3486
NOKUSD,D,20221021,000000,0.0935070,0.0953600,0.0930260,0.0938810,3100
NOKUSD,D,20221023,000000,0.0953200,0.0955700,0.0939730,0.0952900,307
NOKUSD,D,20221024,000000,0.0946540,0.0953400,0.0939700,0.0951800,3538
NOKUSD,D,20221025,000000,0.0950700,0.0964400,0.0945610,0.0960520,3502
NOKUSD,D,20221026,000000,0.0959420,0.0977000,0.0957520,0.0977000,3499
NOKUSD,D,20221027,000000,0.0975830,0.0977940,0.0961930,0.0972800,3465
NOKUSD,D,20221028,000000,0.0971460,0.0976300,0.0962930,0.0967400,3144
NOKUSD,D,20221030,000000,0.0967100,0.0968900,0.0949780,0.0965880,459
NOKUSD,D,20221031,000000,0.0966390,0.0968300,0.0955990,0.0961210,3491
NOKUSD,D,20221101,000000,0.0961540,0.0977120,0.0957070,0.0964540,3558
NOKUSD,D,20221102,000000,0.0964400,0.0973800,0.0950270,0.0954200,3409
NOKUSD,D,20221103,000000,0.0953570,0.0958200,0.0938510,0.0943680,3519
NOKUSD,D,20221104,000000,0.0943610,0.0977600,0.0943400,0.0975800,3137
