<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CADUSD,D,20220825,000000,0.7708100,0.7753600,0.7703000,0.7725000,4153
CADUSD,D,20220826,000000,0.7727300,0.7748100,0.7663000,0.7667000,3823
CADUSD,D,20220828,000000,0.7668000,0.7679000,0.7649000,0.7652000,799
CADUSD,D,20220829,000000,0.7654600,0.7696400,0.7644000,0.7687000,4177
CADUSD,D,20220830,000000,0.7689300,0.7707700,0.7625000,0.7638200,4154
CADUSD,D,20220831,000000,0.7637700,0.7653800,0.7603000,0.7605000,4220
CADUSD,D,20220901,000000,0.7607500,0.7609200,0.7568000,0.7601000,4195
CADUSD,D,20220902,000000,0.7604400,0.7646700,0.7590000,0.7614000,3755
CADUSD,D,20220904,000000,0.7610000,0.7619000,0.7599000,0.7607200,807
CADUSD,D,20220905,000000,0.7608500,0.7617100,0.7586000,0.7615000,3913
CADUSD,D,20220906,000000,0.7615700,0.7634600,0.7590000,0.7600100,4158
CADUSD,D,20220907,000000,0.7598000,0.7626500,0.7567000,0.7614900,4194
CADUSD,D,20220908,000000,0.7615300,0.7645900,0.7596000,0.7643300,4169
CADUSD,D,20220909,000000,0.7643300,0.7702200,0.7640000,0.7674000,3782
CADUSD,D,20220911,000000,0.7671000,0.7679600,0.7651800,0.7673000,750
CADUSD,D,20220912,000000,0.7676200,0.7712900,0.7666000,0.7698000,4168
CADUSD,D,20220913,000000,0.7702200,0.7719000,0.7583000,0.7593800,4238
CADUSD,D,20220914,000000,0.7593100,0.7609500,0.7568000,0.7595000,4186
CADUSD,D,20220915,000000,0.7597800,0.7601100,0.7542000,0.7544000,4166
CADUSD,D,20220916,000000,0.7547600,0.7558600,0.7511000,0.7535000,3813
CADUSD,D,20220918,000000,0.7536000,0.7545000,0.7517300,0.7541100,777
CADUSD,D,20220919,000000,0.7542800,0.7550100,0.7490000,0.7550000,4151
CADUSD,D,20220920,000000,0.7547000,0.7558900,0.7473000,0.7481300,4161
CADUSD,D,20220921,000000,0.7478000,0.7485200,0.7412000,0.7418800,4200
CADUSD,D,20220922,000000,0.7418000,0.7456600,0.7379000,0.7421800,4174
CADUSD,D,20220923,000000,0.7420500,0.7423800,0.7343000,0.7355000,3772
CADUSD,D,20220925,000000,0.7354000,0.7364800,0.7334600,0.7360000,795
CADUSD,D,20220926,000000,0.7363200,0.7371100,0.7239000,0.7289000,4241
CADUSD,D,20220927,000000,0.7292300,0.7330100,0.7256000,0.7286100,4205
CADUSD,D,20220928,000000,0.7284700,0.7350100,0.7226000,0.7333000,4193
CADUSD,D,20220929,000000,0.7336000,0.7337200,0.7266000,0.7308000,4215
CADUSD,D,20220930,000000,0.7311500,0.7319700,0.7223000,0.7226000,3819
CADUSD,D,20221002,000000,0.7228000,0.7256700,0.7223200,0.7253600,723
CADUSD,D,20221003,000000,0.7253500,0.7340900,0.7240000,0.7337700,4167
CADUSD,D,20221004,000000,0.7337800,0.7404700,0.7315000,0.7402000,4191
CADUSD,D,20221005,000000,0.7400100,0.7403800,0.7298000,0.7352900,4185
CADUSD,D,20221006,000000,0.7353600,0.7370800,0.7267000,0.7276200,4187
CADUSD,D,20221007,000000,0.7276600,0.7311000,0.7263000,0.7274000,3835
CADUSD,D,20221009,000000,0.7275000,0.7296000,0.7266000,0.7278000,786
CADUSD,D,20221010,000000,0.7281500,0.7296300,0.7251600,0.7256000,4147
CADUSD,D,20221011,000000,0.7259200,0.7290200,0.7214000,0.7246000,4202
CADUSD,D,20221012,000000,0.7247000,0.7264700,0.7227000,0.7235800,3067
CADUSD,D,20221013,000000,0.7235100,0.7293500,0.7152000,0.7262000,4126
CADUSD,D,20221014,000000,0.7262500,0.7295600,0.7191000,0.7200000,3773
CADUSD,D,20221016,000000,0.7199000,0.7218500,0.7198300,0.7216600,704
CADUSD,D,20221017,000000,0.7215700,0.7298900,0.7212000,0.7290800,4181
CADUSD,D,20221018,000000,0.7292100,0.7320600,0.7239000,0.7283500,4203
CADUSD,D,20221019,000000,0.7282600,0.7287200,0.7238000,0.7259100,4193
CADUSD,D,20221020,000000,0.7260700,0.7324400,0.7238000,0.7257200,4157
CADUSD,D,20221021,000000,0.7259100,0.7335900,0.7216000,0.7325000,3789
CADUSD,D,20221023,000000,0.7327000,0.7347000,0.7314000,0.7324000,798
CADUSD,D,20221024,000000,0.7325400,0.7325400,0.7257000,0.7296000,4202
CADUSD,D,20221025,000000,0.7299300,0.7350900,0.7270000,0.7341600,4184
CADUSD,D,20221026,000000,0.7342700,0.7401200,0.7323000,0.7376000,4209
CADUSD,D,20221027,000000,0.7378200,0.7408200,0.7336000,0.7369000,4127
CADUSD,D,20221028,000000,0.7372400,0.7392500,0.7330000,0.7346000,3755
CADUSD,D,20221030,000000,0.7348000,0.7354000,0.7330400,0.7347400,680
CADUSD,D,20221031,000000,0.7348900,0.7351600,0.7304000,0.7343000,4151
CADUSD,D,20221101,000000,0.7345500,0.7390000,0.7314000,0.7341300,4137
CADUSD,D,20221102,000000,0.7341600,0.7379000,0.7283000,0.7287000,4111
CADUSD,D,20221103,000000,0.7289000,0.7307700,0.7239000,0.7275400,4185
CADUSD,D,20221104,000000,0.7275300,0.7422000,0.7271000,0.7414000,3784
