<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBUSD,D,20221013,000000,0.0151350,0.0157830,0.0150540,0.0154160,223
RUBUSD,D,20221014,000000,0.0158270,0.0162200,0.0155300,0.0159220,225
RUBUSD,D,20221016,000000,0.0160230,0.0163070,0.0159220,0.0159220,25
RUBUSD,D,20221017,000000,0.0159220,0.0162530,0.0158700,0.0160760,229
RUBUSD,D,20221018,000000,0.0160760,0.0163800,0.0159600,0.0160890,245
RUBUSD,D,20221019,000000,0.0162670,0.0162770,0.0159600,0.0161710,213
RUBUSD,D,20221020,000000,0.0163470,0.0163530,0.0159710,0.0162520,193
RUBUSD,D,20221021,000000,0.0162120,0.0163070,0.0160890,0.0162220,180
RUBUSD,D,20221023,000000,0.0161810,0.0161810,0.0161810,0.0161810,18
RUBUSD,D,20221024,000000,0.0162200,0.0163000,0.0159730,0.0162170,182
RUBUSD,D,20221025,000000,0.0162870,0.0163470,0.0160240,0.0162800,214
RUBUSD,D,20221026,000000,0.0163470,0.0163470,0.0160750,0.0162800,241
RUBUSD,D,20221027,000000,0.0162800,0.0163000,0.0160900,0.0162670,230
RUBUSD,D,20221028,000000,0.0162670,0.0162670,0.0159980,0.0162140,226
RUBUSD,D,20221030,000000,0.0162120,0.0162140,0.0162120,0.0162120,14
RUBUSD,D,20221031,000000,0.0162140,0.0163540,0.0159920,0.0160630,203
RUBUSD,D,20221101,000000,0.0160760,0.0162670,0.0157390,0.0157390,230
RUBUSD,D,20221102,000000,0.0157390,0.0163530,0.0157390,0.0161500,260
RUBUSD,D,20221103,000000,0.0164280,0.0164620,0.0158870,0.0159630,252
RUBUSD,D,20221104,000000,0.0159630,0.0162120,0.0159410,0.0160890,245
